AUTOCREATE
2018-08-01T15:03:23+0200 : 0|Pimcore\Bundle\AdminBundle\Controller\Admin\LoginController::loginAction|pimcore_admin_login|[]|[]
2018-08-01T15:03:23+0200 : 0|Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::displayCustomLogoAction|pimcore_settings_display_custom_logo|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\IndexController::indexAction|pimcore_admin_index|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getImageAction|pimcore_admin_user_getimage|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction|pimcore_admin_misc_jsontranslationssystem|[]|{"language":"en"}
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::adminCssAction|pimcore_admin_misc_admincss|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::availableLanguagesAction|pimcore_admin_misc_availablelanguages|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getCurrentUserAction|pimcore_admin_user_getcurrentuser|[]|[]
2018-08-01T15:03:37+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::scriptProxyAction|pimcore_admin_misc_scriptproxy|[]|{"scripts":"minified_javascript_core_3b5db6247d474bd..."}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\ClassController::getTreeAction|pimcore_admin_class_gettree|[]|{"page":"1","start":"0","limit":"25"}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\ClassController::getTreeAction|pimcore_admin_class_gettree|[]|{"createAllowed":"true","page":"1","start":"0","limit":"25"}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::getAvailableAdminLanguagesAction|pimcore_admin_settings_getavailableadminlanguages|[]|{"page":"1","start":"0","limit":"25"}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::getAvailableSitesAction|pimcore_admin_settings_getavailablesites|[]|{"page":"1","start":"0","limit":"25"}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\TargetingController::targetGroupListAction|pimcore_admin_targeting_targetgrouplist|[]|{"page":"1","start":"0","limit":"25"}
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::displayCustomLogoAction|pimcore_settings_display_custom_logo|[]|[]
2018-08-01T15:03:38+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\DocumentController::treeGetRootAction|pimcore_admin_document_treegetroot|[]|{"id":"1","view":"","elementType":"document"}
2018-08-01T15:03:39+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\DataObjectController::treeGetRootAction|pimcore_admin_dataobject_treegetroot|[]|{"id":"","view":"","elementType":"object"}
2018-08-01T15:03:39+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\AssetController::treeGetRootAction|pimcore_admin_asset_treegetroot|[]|{"id":"1","view":"","elementType":"asset"}
2018-08-01T15:03:39+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\PortalController::dashboardListAction|pimcore_admin_portal_dashboardlist|[]|[]
2018-08-01T15:03:39+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\DocumentController::docTypesGetAction|pimcore_admin_document_doctypesget|[]|{"xaction":"read","page":"1","start":"0","limit":"25"}
2018-08-01T15:03:39+0200 : 4|Pimcore\Bundle\AdminBundle\Controller\Admin\DocumentController::treeGetChildsByIdAction|pimcore_admin_document_treegetchildsbyid|[]|{"limit":"100","view":"","node":"1"}
